block_id,gain_per_block,n_products,product_cumsum
560,37400.3,8,8
1058,36468.950000000004,2,10
1580,34089.49999999999,8,18
315,33143.3,8,26
1850,33016.950000000004,1,27
1121,33003.9,10,37
487,32833.86,8,45
1143,32315.989999999998,10,55
442,32240.399999999998,10,65
851,29446.800000000003,10,75
812,29376.749999999996,8,83
1651,27715.7,7,90
21,27587.08,10,100
2145,27535.75,10,110
2574,27186.550000000003,10,120
1964,27128.609999999997,9,129
1438,26739.799999999996,9,138
1446,26703.799999999996,10,148
1403,25800.999999999996,10,158
726,25671.600000000002,10,168
388,25476.4,8,176
1283,25035.200000000004,9,185
1033,25007.95,9,194
418,24876.1,9,203
2625,24507.95,5,208
990,24386.7,9,217
2173,23332.3,6,223
216,23128.350000000002,7,230
2666,22750.0,10,240
2223,22618.45,10,250
1645,22577.550000000003,5,255
1441,22432.850000000002,8,263
2103,22351.7,9,272
530,22325.9,10,282
1747,22304.449999999997,10,292
879,22212.760000000002,7,299
2037,22045.25,4,303
1476,21817.509999999995,10,313
2000,21776.6,5,318
918,21691.95,9,327
2010,21611.45,6,333
1679,21555.65,4,337
1294,21531.35,8,345
670,21492.300000000003,4,349
2735,21457.75,10,359
846,21302.350000000002,8,367
2443,21267.9,6,373
1211,21251.850000000002,9,382
505,21044.649999999998,10,392
1212,20968.199999999997,9,401
387,20940.000000000004,8,409
1554,20932.1,10,419
256,20840.3,6,425
1879,20578.55,9,434
2087,20431.55,10,444
320,20394.8,10,454
1124,20382.2,9,463
2048,20373.800000000003,9,472
2671,20274.350000000002,8,480
773,20051.5,10,490
181,20033.85,8,498
2344,20025.5,10,508
301,20019.650000000005,8,516
439,19783.5,1,517
953,19772.25,8,525
2646,19706.2,8,533
333,19686.5,6,539
2128,19677.95,6,545
1860,19453.0,7,552
1706,19436.4,10,562
2488,19316.25,9,571
1412,19092.95,5,576
1551,18959.04,5,581
546,18838.65,9,590
1641,18833.65,2,592
1572,18816.300000000003,6,598
2706,18793.149999999998,10,608
2233,18621.9,8,616
1183,18158.300000000003,9,625
404,18097.350000000002,6,631
314,18018.11,10,641
1913,17986.500000000004,8,649
779,17929.780000000002,7,656
2742,17916.75,9,665
676,17798.0,6,671
409,17651.960000000003,9,680
1588,17582.75,6,686
2109,17577.750000000004,8,694
1589,17577.5,7,701
1115,17513.3,3,704
941,17363.41,10,714
2566,17362.9,6,720
361,17331.85,8,728
553,17299.5,8,736
1911,17203.9,4,740
1399,17198.199999999997,5,745
2220,17150.899999999998,5,750
2098,17148.4,10,760
1274,17129.100000000002,9,769
2195,17105.649999999998,9,778
108,17063.399999999998,7,785
1236,17015.7,9,794
1027,17013.469999999998,8,802
2207,17009.100000000002,10,812
2442,16997.050000000003,4,816
2700,16872.770000000004,6,822
1454,16845.95,6,828
1407,16831.699999999997,8,836
651,16807.45,9,845
183,16777.75,3,848
2004,16494.5,10,858
2243,16486.35,9,867
976,16432.050000000003,10,877
303,16228.4,7,884
1809,16125.85,9,893
2433,16015.409999999998,9,902
1367,15995.109999999999,10,912
1495,15984.65,10,922
2254,15949.9,4,926
1133,15906.7,6,932
65,15905.200000000003,5,937
1857,15830.849999999999,9,946
2446,15818.699999999999,6,952
2478,15759.919999999998,10,962
2410,15702.6,6,968
1393,15567.069999999998,10,978
1097,15562.35,9,987
498,15553.0,10,997
1348,15524.500000000002,6,1003
2163,15465.050000000001,9,1012
2644,15460.449999999999,10,1022
1463,15430.449999999999,10,1032
513,15424.25,7,1039
80,15370.35,8,1047
666,15350.65,8,1055
1632,15336.749999999998,8,1063
2123,15329.55,8,1071
1606,15256.57,10,1081
2734,15223.2,9,1090
522,15114.75,8,1098
1829,15108.650000000001,9,1107
1104,15025.05,3,1110
2306,15025.05,3,1113
549,14950.05,10,1123
1260,14939.600000000002,5,1128
1418,14915.349999999999,6,1134
1022,14904.6,7,1141
184,14901.850000000002,10,1151
2171,14862.2,4,1155
1240,14639.350000000002,8,1163
1385,14616.8,3,1166
1869,14597.699999999999,9,1175
2526,14509.35,10,1185
861,14444.5,4,1189
839,14429.8,7,1196
68,14386.150000000001,10,1206
1826,14237.899999999998,10,1216
2639,14154.640000000001,6,1222
1252,14142.25,6,1228
2417,14130.0,8,1236
2143,14080.550000000001,10,1246
511,14068.3,7,1253
137,14033.749999999998,8,1261
2264,14018.85,8,1269
2160,13931.950000000003,6,1275
1141,13886.899999999998,9,1284
1501,13870.300000000001,5,1289
606,13795.15,8,1297
2613,13745.849999999999,10,1307
795,13725.800000000001,5,1312
1105,13662.800000000001,5,1317
359,13573.5,10,1327
2423,13565.35,10,1337
1677,13457.85,9,1346
237,13444.5,9,1355
2240,13414.3,8,1363
2593,13394.9,7,1370
1835,13368.11,8,1378
2578,13360.600000000002,5,1383
840,13352.45,10,1393
1700,13335.75,3,1396
2356,13303.75,10,1406
2194,13299.65,6,1412
