block_id,gain_per_block_pd,n_products,gain_per_block_pw,mean_gain_per_block,product_cumsum
21,1.0,10,0.7376165431828087,0.8688082715914043,10
560,0.6279264572735545,8,1.0,0.8139632286367773,18
1121,0.7351043917461997,10,0.8824501407742719,0.8087772662602357,28
487,0.6997681186907173,8,0.8779036531792526,0.7888358859349849,36
442,0.6527921715786218,10,0.8620358660224651,0.7574140188005434,46
1143,0.6486928170982549,10,0.8640569728050309,0.7563748949516429,56
1580,0.5507034335141875,8,0.9114766459092569,0.7310900397117222,64
315,0.5426090372748638,8,0.8861773836038749,0.7143932104393693,72
812,0.6274929498599001,8,0.7854682983826332,0.7064806241212667,80
1446,0.6920336239187715,10,0.7139996203239011,0.7030166221213363,90
1058,0.406916701098896,2,0.9750977933332085,0.6910072472160522,92
530,0.7162197250388915,10,0.5969444095368219,0.6565820672878567,102
1283,0.6435485291228925,9,0.6693850049331156,0.656466767028004,111
1033,0.6442687836278701,9,0.6686564011518624,0.6564625923898663,120
851,0.5091363945278721,10,0.7873412780111391,0.6482388362695055,130
2145,0.5581024116107736,10,0.7362440942987087,0.6471732529547412,140
418,0.6106990532830284,9,0.665131028360735,0.6379150408218817,149
1403,0.5782447013879009,10,0.6898607765178354,0.6340527389528681,159
1850,0.358639328605393,1,0.8827990684566702,0.6207191985310316,160
1964,0.48321761846380323,9,0.7253580853629515,0.6042878519133774,169
2173,0.5821846515797056,6,0.6238532845993213,0.6030189680895135,175
2671,0.6536095136814489,8,0.5420905714660043,0.5978500425737265,183
387,0.6312996868360506,8,0.5598885570436601,0.5955941219398554,191
726,0.4915974070837819,10,0.6864009112226371,0.5889991591532096,201
1438,0.4508341630936174,9,0.7149621794477584,0.5828981712706879,210
1554,0.5920198510269837,10,0.5596773287914802,0.575848589909232,220
1747,0.552157489630819,10,0.5963708847255236,0.5742641871781713,230
2574,0.4073705291725656,10,0.7269072707972932,0.5671388999849294,240
2037,0.5425367860392548,4,0.589440459033751,0.565988622536503,244
990,0.4615950814971359,9,0.6520455718269639,0.55682032666205,253
1409,0.7636526612162141,7,0.32695058595786675,0.5453016235870405,260
388,0.40363152772979843,8,0.6811817017510554,0.542406614740427,268
2048,0.5382559003294207,9,0.5447496410456601,0.5415027706875404,277
2223,0.46883375216471473,10,0.6047665393058345,0.5368001457352746,287
216,0.45078223251802324,7,0.6184001197851353,0.5345911761515793,294
2103,0.46966012567199295,9,0.5976342435755863,0.5336471846237896,303
2735,0.4931575822027144,10,0.5737320288874688,0.5334448055450915,313
1651,0.3221072976005815,7,0.7410555530303232,0.5315814253154524,320
314,0.5809487038805689,10,0.4817637826434547,0.5313562432620118,330
2625,0.40479432105288116,5,0.6552875244316222,0.5300409227422517,335
773,0.5207598120564734,10,0.5361320631117932,0.5284459375841333,345
879,0.4597278386268652,7,0.5939193001125659,0.5268235693697155,352
320,0.5053725567228646,10,0.5453111338679101,0.5253418452953873,362
1441,0.4495336408526549,8,0.5998040122672812,0.524668826559968,370
546,0.5438056983646384,9,0.5037031788515065,0.5237544386080725,379
1274,0.5863910282028182,9,0.45799365245733326,0.5221923403300757,388
1294,0.4634668400696322,8,0.5756999275406881,0.5195833838051601,396
2442,0.5839390018943368,4,0.4544629321155179,0.5192009670049273,400
2344,0.49910927773600766,10,0.5354368815223407,0.5172730796291742,410
1677,0.6631805445485315,9,0.35983267513896944,0.5115066098437504,419
1645,0.41622130553467046,5,0.6036729651901189,0.5099471353623947,424
846,0.4446589403001588,8,0.569576982002818,0.5071179611514884,432
301,0.4779509549581283,8,0.535280465664714,0.5066157103114212,440
1124,0.465665987053482,9,0.54497423817456,0.505320112614021,449
1879,0.45950882706892565,9,0.5502241960625983,0.504866511565762,458
256,0.4494749367237225,6,0.5572228030256441,0.5033488698746833,464
2666,0.3954626224037536,10,0.6082838907709296,0.5018732565873416,474
1860,0.4830649877285792,7,0.5201295176776657,0.5015972527031225,481
2566,0.5374724259932852,6,0.46424493921171756,0.5008586826025013,487
2195,0.5423426108435561,9,0.4573666521391539,0.499854631491355,496
2700,0.5422712627483919,6,0.45113996411793494,0.49670561343316344,502
361,0.5174768965384886,8,0.4634147319673906,0.4904458142529396,510
1679,0.40362249632534747,4,0.5763496549492918,0.48998607563731966,514
505,0.41467016182018984,10,0.5626866629412064,0.4886784123806981,524
2010,0.38255674544309204,6,0.5778416215912706,0.4801991835171813,530
2087,0.40796208616411417,10,0.5462937463068478,0.477127916235481,540
1463,0.5313175238598417,10,0.41257556757566116,0.4719465457177514,550
1211,0.36730496117624994,9,0.5682267254540738,0.4677658433151619,559
2443,0.3615880821586861,6,0.5686558663967936,0.4651219742777398,565
918,0.344889015328551,9,0.5799940107432293,0.46244151303589015,574
522,0.5176304304141575,8,0.40413445881450144,0.4608824446143295,582
1706,0.40173719064617447,10,0.5196856709705537,0.4607114308083641,592
1911,0.46010038406047427,4,0.45999363641468116,0.4600470102375777,596
779,0.44066615639231504,7,0.4794020368820571,0.4600340966371861,603
2446,0.49546962174220327,6,0.4229565003489277,0.4592130610455655,609
1551,0.4086751155455307,5,0.506922136988206,0.45779862626686835,614
2433,0.4834750134906606,9,0.4282160838282045,0.4558455486594325,623
2706,0.40860783158237,10,0.5024866110699647,0.4555472213261674,633
1572,0.4015023741304451,6,0.503105590062112,0.45230398209627853,639
2000,0.32194924802268665,5,0.582257361571966,0.4521033047973263,644
1476,0.31724208002275894,10,0.5833512030652158,0.4502966415439874,654
1252,0.5177410651186839,6,0.37813199359363425,0.4479365293561591,660
2240,0.5349662112580973,8,0.3586682459766365,0.4468172286173669,668
2109,0.4224326539459335,8,0.46998954553840483,0.44621109974216916,676
1212,0.3287544112766114,9,0.5606425616906816,0.4446984864836465,685
1240,0.49447165155035344,8,0.39142333082889713,0.4429474911896253,693
2233,0.3820148611760243,8,0.4979077707932824,0.4399613159846534,701
181,0.3403417031874082,8,0.5356601417635687,0.43800092247548844,709
439,0.34651692598086675,1,0.5289663451897444,0.43774163558530554,710
2742,0.38466332053131763,9,0.4790536439547276,0.4318584822430226,719
2608,0.571920460420999,8,0.2914588920409729,0.431689676230986,727
1809,0.4320962567086404,9,0.4311690013181712,0.4316326290134058,736
2478,0.4413742185012838,10,0.42138485520169616,0.43137953685149,746
333,0.3358621265796489,6,0.5263727831060179,0.43111745484283337,752
1247,0.5740581938545809,9,0.2875030414194539,0.43078061763701736,761
1027,0.406250183450403,8,0.4549019660270104,0.4305760747387067,769
183,0.4122045884050313,3,0.44859934278602037,0.43040196559552585,772
2646,0.33167832846766404,8,0.5268995168487953,0.4292889226582297,780
1765,0.5532498379991826,9,0.30406734705336586,0.42865859252627425,789
1691,0.5442437214805181,10,0.30748817522854094,0.4258659483545295,799
1115,0.3824393371852274,3,0.46826629732916575,0.42535281725719654,802
2644,0.4343924912903394,10,0.41337770017887554,0.4238850957346075,812
2254,0.4158171501854825,4,0.4264644936003187,0.4211408218929006,816
2220,0.37719209119912206,5,0.4585765354823356,0.41788431334072884,821
2488,0.31752160199052143,9,0.51647312989468,0.41699736594260073,830
1826,0.4495471879593318,10,0.3806894597102161,0.415118323834774,840
1588,0.3580974443383252,6,0.47012323430560715,0.41411033932196617,846
953,0.2988423997344765,8,0.528665545463539,0.4137539725990078,854
2207,0.36667953641800927,10,0.4547851220444756,0.4107323292312424,864
1393,0.40334252278736255,10,0.4162284794506995,0.409785501119031,874
2098,0.3575216923045658,10,0.4585096910987345,0.4080156917016502,884
1601,0.5558355290935404,10,0.26000673791386697,0.4079211335037037,894
670,0.24029406252892863,4,0.5746558182688375,0.40747494039888305,898
2004,0.3732724616673327,10,0.4410258741240043,0.40714916789566846,908
1412,0.30005260793092764,5,0.5105025895514207,0.4052775987411742,913
1829,0.40432694587253526,9,0.4039713585185145,0.4041491521955249,922
1348,0.39170104244985876,6,0.4150902532867384,0.40339564786829857,928
110,0.4658059738224742,10,0.33922989922540725,0.40251793652394074,938
1857,0.38140749922668626,9,0.42328136405322947,0.40234443163995787,947
1236,0.3488673489892728,9,0.4549615912171827,0.4019144701032278,956
82,0.4800281779818875,10,0.3227220102512546,0.401375094116571,966
976,0.36279377465291157,10,0.4393561014216465,0.401074938037279,976
666,0.39066920449131753,8,0.41044189485111077,0.40055554967121415,984
2555,0.4679689951885195,8,0.3320815608430948,0.4000252780158071,992
1133,0.3731708583672575,6,0.42530942265169,0.39924014050947376,998
1183,0.30987200242041624,9,0.4855121482982758,0.39769207535934603,1007
2163,0.38162425293351304,9,0.4135006938447017,0.3975624733891074,1016
2123,0.3841169205620245,8,0.40987772825351665,0.3969973244077706,1024
676,0.31567242192915296,6,0.47587853573367056,0.39577547883141173,1030
1495,0.36243477632597926,10,0.4273936305323754,0.3949142034291773,1040
606,0.4199828854885654,8,0.3688513193744435,0.3944171024315044,1048
651,0.3384767181682503,9,0.4493934540632027,0.3939350861157265,1057
409,0.31413256747023566,9,0.47197375422122295,0.3930531608457293,1066
2423,0.4231303299397834,10,0.3627069836338211,0.39291865678680227,1076
904,0.45995136588703095,9,0.3255080841597527,0.3927297250233918,1085
1913,0.3040919035716945,8,0.4809186022572012,0.3925052529144478,1093
2410,0.3606104326268515,6,0.4198522471744879,0.3902313399006697,1099
553,0.3178851160196792,8,0.46254976564359107,0.3902174408316351,1107
549,0.3771740283902199,10,0.3997307508228543,0.3884523896065371,1117
1083,0.4854108950347594,9,0.2879869947567265,0.38669894489574297,1126
1367,0.3445747224536517,10,0.4276733074333628,0.38612401494350723,1136
430,0.4153655799629261,10,0.3553126579198562,0.38533911894139117,1146
108,0.31377131129219055,7,0.4562369820562936,0.3850041466742421,1153
2160,0.39563873479055045,6,0.3725090440451013,0.3840738894178259,1159
1632,0.3565937154972124,8,0.4100702400782881,0.38333197778775024,1167
1589,0.2963136064881608,7,0.4699828611000446,0.3831482337941027,1174
1309,0.5689414516627945,10,0.19359069312278238,0.3812660723927884,1184
2243,0.3211206166642957,9,0.44080796143346435,0.38096428904888,1193
1022,0.36307149033978386,7,0.3985155199289845,0.38079350513438415,1200
2264,0.3858622394722048,8,0.37483255481907896,0.3803473971456419,1208
1887,0.515047448741135,6,0.24558091780012456,0.38031418327062977,1214
1407,0.3103416354518749,8,0.45004184458413415,0.3801917400180045,1222
303,0.32603595853682193,7,0.4339109579334925,0.3799734582351572,1229
2734,0.3524008859807765,9,0.40703416817512156,0.37971752707794904,1238
1166,0.4655508366467299,5,0.2873827215289717,0.3764667790878508,1243
184,0.3541732991043102,10,0.3984419911070232,0.3763076451056667,1253
861,0.3605517284979192,4,0.3862134795710195,0.3733826040344693,1257
1671,0.41177108099137727,7,0.3345628243623714,0.37316695267687433,1264
1454,0.29508081978058187,6,0.4504228575706612,0.37275183867562156,1270
661,0.4851941413279325,5,0.25751665093595505,0.3713553961319438,1275
428,0.38878073782058653,9,0.3524196329975963,0.37060018540909145,1284
498,0.3252953833718295,10,0.415852279259792,0.3705738313158108,1294
1501,0.3702017841539491,5,0.3708606615454956,0.37053122284972234,1299
2356,0.3852458461184154,10,0.3557123873337914,0.3704791167261034,1309
1399,0.2774018455674994,5,0.4598412312200702,0.3686215383937848,1314
165,0.45638170327772226,2,0.27899508827469294,0.3676883957762076,1316
359,0.37220224023987397,10,0.362924896324361,0.36756356828211745,1326
933,0.4302086931783543,9,0.3021713729569014,0.3661900330676279,1335
840,0.37501100702417484,10,0.3570145159263428,0.36601276147525885,1345
2610,0.4335051558030162,10,0.29229444683598793,0.36289980131950206,1355
2526,0.3377632372166112,10,0.38794742288163464,0.36285533004912296,1365
839,0.3354399084215587,7,0.38582043459544435,0.3606301715085015,1372
1410,0.4730830279589703,9,0.2456985639152627,0.3593907959371165,1381
2290,0.41529107087620437,10,0.3021526565294931,0.35872186370284875,1391
1507,0.5082355119338721,10,0.2088806774277212,0.35855809468079664,1401
1735,0.44328390897247455,10,0.27363283182220466,0.35845837039733963,1411
2699,0.41376250567285094,10,0.30248821533517106,0.358125360504011,1421
355,0.3652525745147312,10,0.3492217976861148,0.357237186100423,1431
1070,0.39549874802155804,9,0.31475683350133554,0.3551277907614468,1440
941,0.24489195053499774,10,0.46425857546597216,0.3545752630004849,1450
2143,0.3264897866104911,10,0.3764822742063566,0.35148603040842386,1460
1097,0.28582814592040157,9,0.41610227725446053,0.35096521158743105,1469
2745,0.3751735723042951,9,0.32503616281152825,0.3501048675579117,1478
2035,0.37360888148313726,9,0.3239626420108929,0.3487857617470151,1487
1794,0.37808845809089653,10,0.31731590388312386,0.3477021809870102,1497
1273,0.4053339474688362,8,0.2884696112063272,0.3469017793375817,1505
2312,0.40061955434534735,8,0.29012467814429294,0.3453721162448201,1513
2171,0.29282974222113833,4,0.39738183918310815,0.3451057907021232,1517
237,0.3298268905551828,9,0.359475726130539,0.3446513083428609,1526
1950,0.35782650220479134,10,0.3293262353510533,0.3435763687779223,1536
404,0.2002465573415157,6,0.4838824822260783,0.34206451978379704,1542
932,0.36885836274184397,9,0.31419534067908544,0.3415268517104647,1551
2128,0.15680550193159154,6,0.5261441753141017,0.34147483862284667,1557
1940,0.3501610976768968,9,0.33262166346259253,0.34139138056974466,1566
2390,0.3643787861340846,7,0.31731697339326154,0.34084787976367303,1573
436,0.40665027466758774,6,0.2691168252661075,0.3378835499668476,1579
1260,0.2734438325667928,5,0.39945134129940135,0.33644758693309706,1584
554,0.41251617185859557,10,0.25996716603877507,0.33624166894868535,1594
447,0.5290822512581876,7,0.14280366735026193,0.3359429593042248,1601
25,0.3858333389779613,8,0.28562845752574173,0.33573089825185154,1609
341,0.3361980948252308,8,0.3351938353435667,0.33569596508439875,1617
2593,0.31246175764677714,7,0.3581495335598912,0.3353056456033342,1624
1869,0.2776773034032588,9,0.39030970339810106,0.3339935034006799,1633
1700,0.31037324536745386,3,0.3565679954438868,0.3334706204056703,1636
626,0.5418558181436398,9,0.12218324451942901,0.3320195313315344,1645
68,0.2790342719220407,10,0.38465333165776744,0.3318438017899041,1655
847,0.39739082725406916,7,0.26615561907257423,0.3317732231633217,1662
513,0.25020377106292835,7,0.41240979350433016,0.33130678228362925,1669
2705,0.41377831063064024,8,0.24848062716074468,0.33112946889569245,1677
1492,0.4286914172305651,9,0.23304492209955535,0.3308681696650602,1686
1641,0.15584591520865929,2,0.5035694900843042,0.32970770264648175,1688
80,0.24585289196859766,8,0.4109686285938883,0.32841076028124294,1696
1141,0.28537431784673234,9,0.3713045082526075,0.32833941304966996,1705
2639,0.27819209345697304,6,0.37846327435876176,0.3283276839078674,1711
1521,0.3229404446611979,8,0.33232754817474724,0.3276339964179726,1719
1352,0.3471423507391074,8,0.30785047178765945,0.3274964112633834,1727
2306,0.25311414114730435,3,0.40173608233089037,0.3274251117390974,1730
4,0.32842070088214226,10,0.3237570286869357,0.32608886478453897,1740
753,0.31659136733205523,3,0.3349986497434512,0.32579500853775323,1743
2613,0.28337386176080753,10,0.3675331481298278,0.32545350494531766,1753
2525,0.3823151553740243,9,0.2665580222618535,0.3244365888179389,1762
1188,0.30630459766222073,10,0.34202934201062557,0.3241669698364231,1772
1069,0.35157451247349825,4,0.29616473664649745,0.32386962455999785,1776
790,0.3402581626962352,6,0.30588524690978414,0.3230717048030097,1782
2515,0.3076818868410177,5,0.3382272334713892,0.3229545601562035,1787
1,0.33000074509086696,7,0.31464720871222956,0.32232397690154824,1794
1847,0.36947249824452055,7,0.27460875982278216,0.3220406290336514,1801
716,0.3131842700028673,8,0.33060964751619637,0.32189695875953184,1809
1418,0.24405338463171045,6,0.39880295077846967,0.3214281677050901,1815
63,0.30095574837604055,7,0.3384050395317685,0.3196803939539045,1822
1822,0.3662415133021296,8,0.27012483857081365,0.3181831759364716,1830
814,0.38338763465259584,8,0.2524404884452799,0.31791406154893787,1838
